x,y,z,score,score_d
79400,0,0,161,8045070
79500,0,0,161,8036830
79600,0,0,162,8078490
79700,0,0,162,8070250
79800,0,0,162,8062030
79900,0,0,163,8103550
80100,0,0,16,793830
80200,0,0,17,842593
80300,0,0,17,841743
80400,0,0,18,890361
80500,0,0,18,889467
80600,0,0,18,888576
80700,0,0,18,887688
80800,0,0,19,936069
80900,0,0,19,935137
80050.3,86.4322,0,148,7335570
80100.5,172.864,0,148,7320770
80150.8,259.297,0,148,7305980
80201,345.729,0,148,7291180
80251.3,432.161,0,148,7276380
80301.5,518.593,0,148,7261590
80351.8,605.025,0,148,7246790
80402,691.458,0,148,7231990
80452.3,777.89,0,148,7217200
80502.5,864.322,0,148,7202400
80552.8,950.754,0,148,7187600
80603,1037.19,0,148,7172810
80653.3,1123.62,0,148,7158010
80703.5,1210.05,0,148,7143210
80753.8,1296.48,0,148,7128420
80804,1382.92,0,148,7113620
80854.3,1469.35,0,148,7098820
80904.5,1555.78,0,148,7084020
80954.8,1642.21,0,148,7069230
81005,1728.64,0,148,7054430
81055.3,1815.08,0,148,7039630
81105.5,1901.51,0,148,7024840
81155.8,1987.94,0,148,7010040
81206,2074.37,0,148,6995240
81256.3,2160.8,0,148,6980450
81306.5,2247.24,0,148,6965650
81356.8,2333.67,0,148,6950850
81407,2420.1,0,148,6936060
81457.3,2506.53,0,148,6921260
81507.5,2592.97,0,148,6906460
81557.8,2679.4,0,148,6891670
81608,2765.83,0,148,6876870
81658.3,2852.26,0,148,6862070
81708.6,2938.69,0,148,6847280
81758.8,3025.13,0,148,6832480
81809.1,3111.56,0,148,6817680
81859.3,3197.99,0,148,6802880
81909.6,3284.42,0,148,6788090
81959.8,3370.86,0,148,6773290
82010.1,3457.29,0,148,6758490
82060.3,3543.72,0,148,6743700
82110.6,3630.15,0,148,6728900
82160.8,3716.58,0,148,6714100
82211.1,3803.02,0,148,6699310
82261.3,3889.45,0,148,6684510
82311.6,3975.88,0,148,6669710
82361.8,4062.31,0,148,6654920
82412.1,4148.75,0,148,6640120
82462.3,4235.18,0,148,6625320
82512.6,4321.61,0,148,6610530
82562.8,4408.04,0,148,6595730
82613.1,4494.47,0,148,6580930
82663.3,4580.91,0,148,6566140
82713.6,4667.34,0,148,6551340
82763.8,4753.77,0,148,6536540
82814.1,4840.2,0,148,6521740
82864.3,4926.64,0,148,6506950
82914.6,5013.07,0,148,6492150
82964.8,5099.5,0,148,6477350
83015.1,5185.93,0,148,6462560
83065.3,5272.36,0,148,6447760
83115.6,5358.8,0,148,6432960
83165.8,5445.23,0,148,6418170
83216.1,5531.66,0,148,6403370
83266.3,5618.09,0,148,6388570
83316.6,5704.52,0,148,6373780
83366.9,5790.96,0,148,6358980
83417.1,5877.39,0,148,6344180
83467.4,5963.82,0,148,6329390
83517.6,6050.25,0,148,6314590
83567.9,6136.69,0,148,6299790
83618.1,6223.12,0,148,6285000
83668.4,6309.55,0,148,6270200
83718.6,6395.98,0,148,6255400
83768.9,6482.41,0,148,6240600
83819.1,6568.85,0,148,6225810
83869.4,6655.28,0,148,6211010
83919.6,6741.71,0,148,6196210
83969.9,6828.14,0,148,6181420
84020.1,6914.58,0,148,6166620
84070.4,7001.01,0,148,6151820
84120.6,7087.44,0,148,6137030
84170.9,7173.87,0,148,6122230
84221.1,7260.3,0,148,6107430
84271.4,7346.74,0,148,6092640
84321.6,7433.17,0,148,6077840
84371.9,7519.6,0,148,6063040
84422.1,7606.03,0,148,6048250
84472.4,7692.47,0,148,6033450
84522.6,7778.9,0,148,6018650
84572.9,7865.33,0,148,6003860
84623.1,7951.76,0,148,5989060
84673.4,8038.19,0,148,5974260
84723.6,8124.63,0,148,5959460
84773.9,8211.06,0,148,5944670
84824.1,8297.49,0,148,5929870
84874.4,8383.92,0,148,5915070
84924.6,8470.35,0,148,5900280
84974.9,8556.79,0,148,5885480
85025.2,8643.22,0,148,5870680
85075.4,8729.65,0,148,5855890
85125.7,8816.08,0,148,5841090
85175.9,8902.52,0,148,5826290
85226.2,8988.95,0,148,5811500
85276.4,9075.38,0,148,5796700
85326.7,9161.81,0,148,5781900
85376.9,9248.24,0,148,5767110
85427.2,9334.68,0,148,5752310
85477.4,9421.11,0,148,5737510
85527.7,9507.54,0,148,5722720
85577.9,9593.97,0,148,5707920
85628.2,9680.41,0,148,5693120
85678.4,9766.84,0,148,5678320
85728.7,9853.27,0,148,5663530
85778.9,9939.7,0,148,5648730
85829.2,10026.1,0,148,5633930
85879.4,10112.6,0,148,5619140
85929.7,10199,0,148,5604340
85979.9,10285.4,0,148,5589540
