x,y,z,score,score_d
81809.1,3111.56,0,0,0
81859.3,3197.99,0,0,0
81909.6,3284.42,0,0,0
81959.8,3370.86,0,0,0
82010.1,3457.29,0,0,0
82060.3,3543.72,0,0,0
82110.6,3630.15,0,0,0
82160.8,3716.58,0,0,0
82211.1,3803.02,0,0,0
82261.3,3889.45,0,0,0
82311.6,3975.88,0,0,0
82361.8,4062.31,0,0,0
82412.1,4148.75,0,0,0
82462.3,4235.18,0,0,0
82512.6,4321.61,0,0,0
82562.8,4408.04,0,0,0
82613.1,4494.47,0,0,0
82663.3,4580.91,0,0,0
82713.6,4667.34,0,0,0
82763.8,4753.77,0,0,0
82814.1,4840.2,0,0,0
82864.3,4926.64,0,0,0
82914.6,5013.07,0,0,0
82964.8,5099.5,0,0,0
83015.1,5185.93,0,0,0
83065.3,5272.36,0,0,0
83115.6,5358.8,0,0,0
83165.8,5445.23,0,0,0
83216.1,5531.66,0,0,0
83266.3,5618.09,0,0,0
83316.6,5704.52,0,0,0
83366.9,5790.96,0,0,0
83417.1,5877.39,0,0,0
83467.4,5963.82,0,0,0
83517.6,6050.25,0,0,0
83567.9,6136.69,0,0,0
83618.1,6223.12,0,0,0
83668.4,6309.55,0,0,0
83718.6,6395.98,0,0,0
83768.9,6482.41,0,0,0
83819.1,6568.85,0,0,0
83869.4,6655.28,0,0,0
83919.6,6741.71,0,0,0
83969.9,6828.14,0,0,0
84020.1,6914.58,0,0,0
84070.4,7001.01,0,0,0
84120.6,7087.44,0,0,0
84170.9,7173.87,0,0,0
84221.1,7260.3,0,0,0
84271.4,7346.74,0,0,0
84321.6,7433.17,0,0,0
84371.9,7519.6,0,0,0
84422.1,7606.03,0,0,0
84472.4,7692.47,0,0,0
84522.6,7778.9,0,0,0
84572.9,7865.33,0,0,0
84623.1,7951.76,0,0,0
84673.4,8038.19,0,0,0
84723.6,8124.63,0,0,0
84773.9,8211.06,0,0,0
84824.1,8297.49,0,0,0
84874.4,8383.92,0,0,0
84924.6,8470.35,0,0,0
84974.9,8556.79,0,0,0
85025.2,8643.22,0,0,0
85075.4,8729.65,0,0,0
85125.7,8816.08,0,0,0
85175.9,8902.52,0,0,0
85226.2,8988.95,0,0,0
85276.4,9075.38,0,0,0
85326.7,9161.81,0,0,0
85376.9,9248.24,0,0,0
85427.2,9334.68,0,0,0
85477.4,9421.11,0,0,0
85527.7,9507.54,0,0,0
85577.9,9593.97,0,0,0
85628.2,9680.41,0,0,0
85678.4,9766.84,0,0,0
85728.7,9853.27,0,0,0
85778.9,9939.7,0,0,0
85829.2,10026.1,0,0,0
85879.4,10112.6,0,0,0
85929.7,10199,0,0,0
85979.9,10285.4,0,0,0
86030.2,10371.9,0,0,0
86080.4,10458.3,0,0,0
86130.7,10544.7,0,0,0
86180.9,10631.2,0,0,0
86231.2,10717.6,0,0,0
86281.4,10804,0,0,0
86331.7,10890.5,0,0,0
86381.9,10976.9,0,0,0
86432.2,11063.3,0,0,0
86482.4,11149.8,0,0,0
86532.7,11236.2,0,0,0
86582.9,11322.6,0,0,0
86633.2,11409,0,0,0
86683.5,11495.5,0,0,0
86733.7,11581.9,0,0,0
86784,11668.3,0,0,0
86834.2,11754.8,0,0,0
86884.5,11841.2,0,0,0
86934.7,11927.6,0,0,0
86985,12014.1,0,0,0
87035.2,12100.5,0,0,0
87085.5,12186.9,0,0,0
87135.7,12273.4,0,0,0
